strategy,period,timerange,trades,profit_pct,abs_profit,wr,identifier
LIB_STR012,2024_OOS,20240101-20250101,0,0.0,0.000,None,lib_str012_fai_2024_oos
LIB_STR012,2026_OOS,20260101-20260520,0,0.0,0.000,None,lib_str012_fai_2026_oos
