file,path,pine_version,is_strategy,is_indicator,has_request_security,has_pivothigh,has_pivotlow,has_manual_sr,has_long,has_short,has_strategy_entry,has_strategy_exit,conversion_category,convertibility_score
LIB-STR029.pine,pine_strategies/LIB-STR029.pine,6,True,False,False,False,False,False,True,True,True,True,A - قابلة مباشرة,80
LIB-STR030.pine,pine_strategies/LIB-STR030.pine,6,True,False,False,False,False,False,True,True,True,True,A - قابلة مباشرة,80
LIB-STR031.pine,pine_strategies/LIB-STR031.pine,6,True,False,False,True,True,True,True,True,True,True,B - تحتاج تعديل بسيط (pivots/manual sr),65
LIB-STR032.pine,pine_strategies/LIB-STR032.pine,6,True,False,False,True,True,True,True,True,True,True,B - تحتاج تعديل بسيط (pivots/manual sr),65
LIB-STR033.pine,pine_strategies/LIB-STR033.pine,6,True,False,False,True,True,True,True,True,True,True,B - تحتاج تعديل بسيط (pivots/manual sr),65
LIB-STR034.pine,pine_strategies/LIB-STR034.pine,6,True,False,False,True,True,True,True,True,True,True,B - تحتاج تعديل بسيط (pivots/manual sr),65
LIB-STR035.pine,pine_strategies/LIB-STR035.pine,6,True,False,False,True,True,True,True,True,True,True,B - تحتاج تعديل بسيط (pivots/manual sr),65
LIB-STR036.pine,pine_strategies/LIB-STR036.pine,6,True,False,False,True,True,True,True,True,True,True,B - تحتاج تعديل بسيط (pivots/manual sr),65
LIB-STR037.pine,pine_strategies/LIB-STR037.pine,6,True,False,False,True,True,True,True,True,True,True,B - تحتاج تعديل بسيط (pivots/manual sr),65
LIB-STR038.pine,pine_strategies/LIB-STR038.pine,6,True,False,False,True,True,True,True,True,True,True,B - تحتاج تعديل بسيط (pivots/manual sr),65
LIB-STR039.pine,pine_strategies/LIB-STR039.pine,6,True,False,False,False,False,False,True,True,True,True,A - قابلة مباشرة,80
LIB-STR040.pine,pine_strategies/LIB-STR040.pine,6,True,False,False,False,False,False,True,True,True,True,A - قابلة مباشرة,80
LIB-STR041.pine,pine_strategies/LIB-STR041.pine,6,True,False,False,True,True,True,True,True,True,True,B - تحتاج تعديل بسيط (pivots/manual sr),65
LIB-STR042.pine,pine_strategies/LIB-STR042.pine,6,True,False,False,False,False,False,True,True,True,True,A - قابلة مباشرة,80
